year,filing_status,rate,lower_bound_exclusive,upper_bound_inclusive,standard_deduction,reviewed,official_source
2025,single,10%,0,11925,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,single,12%,11925,48475,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,single,22%,48475,103350,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,single,24%,103350,197300,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,single,32%,197300,250525,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,single,35%,250525,626350,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,single,37%,626350,no_limit,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_jointly,10%,0,23850,31500,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_jointly,12%,23850,96950,31500,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_jointly,22%,96950,206700,31500,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_jointly,24%,206700,394600,31500,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_jointly,32%,394600,501050,31500,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_jointly,35%,501050,751600,31500,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_jointly,37%,751600,no_limit,31500,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,head_of_household,10%,0,17000,23625,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,head_of_household,12%,17000,64850,23625,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,head_of_household,22%,64850,103350,23625,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,head_of_household,24%,103350,197300,23625,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,head_of_household,32%,197300,250500,23625,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,head_of_household,35%,250500,626350,23625,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,head_of_household,37%,626350,no_limit,23625,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_separately,10%,0,11925,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_separately,12%,11925,48475,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
2025,married_filing_separately,22%,48475,103350,15750,2026-08-06,https://www.irs.gov/newsroom/irs-releases-tax-inflation-adjustments-for-tax-year-2025
